Ana Kelime,Yasaklı Kelime 1 (İpucu),Yasaklı Kelime 2,Yasaklı Kelime 3,Yasaklı Kelime 4,Yasaklı Kelime 5,Alt Kategori (Set),Nadirlik (Rarity)
Bundesliga,Almanya,Bayern Münih,Dortmund,Şampiyon,Lig,Kupalar & Turnuvalar,Epic
Ballon dOr,Messi,Ronaldo,Altın Top,Ödül,Yılın Futbolcusu,Kupalar & Turnuvalar,Epic
Altın Ayakkabı,Gol Kralı,Avrupa,Ödül,Forvet,Ayakkabı,Kupalar & Turnuvalar,Epic
UEFA Avrupa Ligi,Kupa 2,Sevilla,Avrupa,Final,UEFA,Kupalar & Turnuvalar,Epic
Copa America,Güney Amerika,Arjantin,Brezilya,Turnuva,Kupa,Kupalar & Turnuvalar,Epic
Vodafone Park,Beşiktaş,Dolmabahçe,Stadyum,Boğaz,Çarşı,Kulüpler & Mabedler,Epic
Emirates,Arsenal,Londra,Stadyum,Highbury,İngiltere,Kulüpler & Mabedler,Epic
Stamford Bridge,Chelsea,Londra,Maviler,Stadyum,İngiltere,Kulüpler & Mabedler,Epic
Etihad,Manchester City,Stadyum,Guardiola,Mavi,İngiltere,Kulüpler & Mabedler,Epic
Juventus Arena,Juventus,Torino,Stadyum,İtalya,Siyah Beyaz,Kulüpler & Mabedler,Epic
Olimpiyat Stadyumu,Atatürk,Final,İstanbul,Kapasite,Rüzgar,Kulüpler & Mabedler,Epic
Velodrome,Marsilya,Fransa,Stadyum,Taraftar,Ateşli,Kulüpler & Mabedler,Epic
Sergio Busquets,Ön Libero,İspanya,Tiki Taka,Barcelona,Pas,Kulüpler & Mabedler,Epic
Jordi Alba,Sol Bek,İspanya,Barcelona,Messi,Hız,Kulüpler & Mabedler,Epic
Dani Alves,Barcelona,Brezilya,Sağ Bek,Kupa,Hapis,Kupalar & Turnuvalar,Epic
Marcelo,Sol Bek,Kıvırcık,Real Madrid,Çalım,Kıvırcık,Kulüpler & Mabedler,Epic
Pepe,Stoper,Kasap,Portekiz,Real Madrid,Agresif,Kulüpler & Mabedler,Epic
Raphael Varane,Stoper,Manchester United,Real Madrid,Fransa,Dünya Kupası,Kupalar & Turnuvalar,Epic
Casemiro,Manchester United,Brezilya,Real Madrid,Ön Libero,Şut,Kulüpler & Mabedler,Epic
Angel Di Maria,PSG,Real Madrid,Arjantin,Sol Ayak,Final,Kulüpler & Mabedler,Epic
Gonzalo Higuain,Napoli,Real Madrid,Arjantin,Forvet,Kaçırmak,Kulüpler & Mabedler,Epic
N Golo Kante,Chelsea,Fransa,Fenerbahçe,Orta Saha,Ciğersiz,Kulüpler & Mabedler,Epic
Paul Pogba,Juventus,Fransa,Manchester United,Orta Saha,Doping,Kulüpler & Mabedler,Epic
Riyad Mahrez,Manchester City,Cezayir,Leicester,Sol Ayak,Kanat,Kulüpler & Mabedler,Epic
Jamie Vardy,Leicester City,İngiltere,Forvet,Şampiyon,Enerji,Kulüpler & Mabedler,Epic
Hugo Lloris,Tottenham,Fransa,Kaleci,Kaptan,Dünya Kupası,Kupalar & Turnuvalar,Epic
David De Gea,İspanya,Kaleci,Manchester United,Kurtarış,Ayakla,Kulüpler & Mabedler,Epic
Harry Maguire,Stoper,İngiltere,Manchester United,Hata,Kaptan,Kulüpler & Mabedler,Epic
Bruno Fernandes,Orta Saha,Portekiz,Ronaldo,Manchester United,Milli Takım,Kulüpler & Mabedler,Epic
Marcus Rashford,Manchester United,İngiltere,Forvet,Hız,Altyapı,Kulüpler & Mabedler,Epic
Trent Alexander Arnold,Sağ Bek,Korner,Liverpool,Asist,Korner,Kulüpler & Mabedler,Epic
Andrew Robertson,Liverpool,İskoçya,Sol Bek,Hız,Orta,Kulüpler & Mabedler,Epic
Virgil van Dijk,Liverpool,Hollanda,Stoper,Geçilmez,Kaptan,Kulüpler & Mabedler,Epic
Roberto Firmino,Sahte 9,Diş,Brezilya,Liverpool,Forvet,Kulüpler & Mabedler,Epic
Sadio Mane,Bayern Münih,Senegal,Liverpool,Kanat,Münih,Kulüpler & Mabedler,Epic
Joao Cancelo,Bek,Portekiz,Manchester City,Dış,Juventus,Kulüpler & Mabedler,Epic
Arda Turan,Eyüpspor,Galatasaray,Atletico,Şampiyon,Hoca,Kulüpler & Mabedler,Epic
Emre Mor,Dortmund,Fenerbahçe,Celta Vigo,Çalım,Sol Ayak,Kulüpler & Mabedler,Epic
Ozan Tufan,Fenerbahçe,Hull City,Orta Saha,Şut,Milli Takım,Kulüpler & Mabedler,Epic
Mehmet Topal,Fenerbahçe,Galatasaray,Örümcek,Ön Libero,Valencia,Kulüpler & Mabedler,Epic
Gökhan Töre,Beşiktaş,West Ham,Kanat,Çalım,Silah,Kulüpler & Mabedler,Epic
Olcay Şahan,Beşiktaş,Trabzonspor,Feda,Kanat,Koşu,Kulüpler & Mabedler,Epic
Veli Kavlak,Beşiktaş,Avusturya,Orta Saha,Omuz,Mücadele,Futbol Terimleri & Taktikler,Common
Uğur Boral,Fenerbahçe,Sol Kanat,Sol Bek,Hız,Beşiktaş,Kulüpler & Mabedler,Epic
Colin Kazım Richards,Fenerbahçe,Galatasaray,Kanat,İngiltere,Kazım Kazım,Kulüpler & Mabedler,Epic
Deivid de Souza,Fenerbahçe,Brezilya,Chelsea,Forvet,Gol,Kulüpler & Mabedler,Epic
Stephen Appiah,Fenerbahçe,Gana,Juventus,Orta Saha,Diz,Kulüpler & Mabedler,Epic
Nicolas Anelka,Fenerbahçe,Fransa,Arsenal,Real Madrid,Forvet,Kulüpler & Mabedler,Epic
Ariel Ortega,Fenerbahçe,Arjantin,Burrito,10 Numara,River Plate,Kulüpler & Mabedler,Epic
Milan Baros,Galatasaray,Çekya,Forvet,Gol Kralı,Liverpool,Kulüpler & Mabedler,Epic
Harry Kewell,Galatasaray,Avustralya,Liverpool,Büyücü,Sol Ayak,Kulüpler & Mabedler,Epic
Abdul Kader Keita,Galatasaray,Fildişi,Çalım,Kanat,Takla,Kulüpler & Mabedler,Epic
Faryd Mondragon,Galatasaray,Kolombiya,Kaleci,Gözyaşı,Efsane,Kulüpler & Mabedler,Epic
Oscar Cordoba,Beşiktaş,Boca Juniors,Kaleci,Kolombiya,Pas,Futbol Terimleri & Taktikler,Common
Sacha Boey,Galatasaray,Bayern Münih,Sağ Bek,Fransa,Hız,Kulüpler & Mabedler,Epic
Victor Nelsson,Galatasaray,Danimarka,Stoper,Kafa,Defans,Kulüpler & Mabedler,Epic
Davinson Sanchez,Galatasaray,Kolombiya,Tottenham,Stoper,Hız,Kulüpler & Mabedler,Epic
Fred,Fenerbahçe,Brezilya,Manchester United,Orta Saha,Enerji,Kulüpler & Mabedler,Epic
Sebastian Szymanski,Fenerbahçe,Polonya,10 Numara,Şut,Sol Ayak,Kulüpler & Mabedler,Epic
Dominik Livakovic,Fenerbahçe,Hırvatistan,Kaleci,Penaltı,Dünya Kupası,Kupalar & Turnuvalar,Epic
Alexander Djiku,Fenerbahçe,Gana,Stoper,Fransa,Müdahale,Kulüpler & Mabedler,Epic
Milot Rashica,Beşiktaş,Galatasaray,Kosova,Kanat,Hız,Kulüpler & Mabedler,Epic
Arthur Masuaku,Beşiktaş,Sol Bek,Kongo,West Ham,Orta,Kulüpler & Mabedler,Epic
Paul Onuachu,Trabzonspor,Nijerya,Forvet,Uzun,Kafa,Kulüpler & Mabedler,Epic
Trezeguet,Trabzonspor,Kasımpaşa,Mısır,Kanat,Gol,Kulüpler & Mabedler,Epic
Enis Bardhi,Trabzonspor,Kuzey Makedonya,Frikik,Orta Saha,Şut,Kulüpler & Mabedler,Epic
Max Kruse,Fenerbahçe,Almanya,Poker,10 Numara,Forvet,Kulüpler & Mabedler,Epic
Garry Rodrigues,Galatasaray,Fenerbahçe,Yeşil Burun,Hız,Kanat,Kulüpler & Mabedler,Epic
Henry Onyekuru,Galatasaray,Nijerya,Hız,Kanat,Monaco,Kulüpler & Mabedler,Epic
Yedek Kulübesi,Oyuncu,Teknik Direktör,Değişiklik,Kenar,Kulübe,Yeşil Saha Efsaneleri,Rare
Isınmak,Yedek,Kenar,Oyuna Girmek,Koşmak,Hazırlık,Yeşil Saha Efsaneleri,Rare
Çift Sarılı,Kırmızı Kart,İkinci,Atılmak,Hakem,Faul,Futbol Terimleri & Taktikler,Common
Baraj,Frikik,Serbest Vuruş,Mesafe,Oyuncu,Durmak,Futbol Terimleri & Taktikler,Common
Fikstür,Maç,Takvim,Lig,Hafta,Sıra,Yeşil Saha Efsaneleri,Rare
Bonservis,Transfer,Para,Ücret,Sözleşme,Oyuncu,Yeşil Saha Efsaneleri,Rare
Kiralık,Transfer,Sözleşme,Geri Dönmek,Geçici,Opsiyon,Yeşil Saha Efsaneleri,Rare
Serbest Vuruş,Faul,Hakem,Frikik,Düdük,Başlatmak,Futbol Terimleri & Taktikler,Common
Avantaj,Hakem,Oyun,Devam,Faul,Kural,Futbol Terimleri & Taktikler,Common
Altı Pas,Kaleci,Ceza Sahası,Küçük,Çizgi,Bölge,Futbol Terimleri & Taktikler,Common
Kluivert,Hollanda,Barcelona,Ajax,Forvet,Adana Demirspor,Kulüpler & Mabedler,Epic
Edgar Davids,Hollanda,Gözlük,Juventus,Pitbull,Orta Saha,Kulüpler & Mabedler,Epic
Lilian Thuram,Fransa,Juventus,Sağ Bek,Stoper,Gözlük,Kulüpler & Mabedler,Epic
Fabien Barthez,Fransa,Kaleci,Kel,Manchester United,Öpücük,Kulüpler & Mabedler,Epic
Laurent Blanc,Fransa,Stoper,Kaptan,Öpücük,Teknik Direktör,Futbol Terimleri & Taktikler,Common
Marcel Desailly,Fransa,Stoper,Kaya,Chelsea,Milan,Kulüpler & Mabedler,Epic
Patrick Vieira,Fransa,Arsenal,Kaptan,Orta Saha,Juventus,Kulüpler & Mabedler,Epic
Sol Campbell,İngiltere,Arsenal,Tottenham,Stoper,Defans,Kulüpler & Mabedler,Epic
Tony Adams,İngiltere,Arsenal,Kaptan,Stoper,Alkol,Kulüpler & Mabedler,Epic
Ian Wright,İngiltere,Arsenal,Forvet,Efsane,Golcü,Kulüpler & Mabedler,Epic
Roy Keane,İrlanda,Manchester United,Kaptan,Agresif,Orta Saha,Kulüpler & Mabedler,Epic
Gary Neville,İngiltere,Manchester United,Sağ Bek,Kaptan,Yorumcu,Kulüpler & Mabedler,Epic
Ashley Cole,İngiltere,Chelsea,Arsenal,Sol Bek,Ronaldo,Kulüpler & Mabedler,Epic
John Terry,İngiltere,Chelsea,Kaptan,Stoper,Kaymak,Kulüpler & Mabedler,Epic
Petr Cech,Çekya,Chelsea,Kaleci,Kask,Arsenal,Kulüpler & Mabedler,Epic
Claude Makelele,Fransa,Chelsea,Real Madrid,Ön Libero,Orta Saha,Kulüpler & Mabedler,Epic
Javier Mascherano,Arjantin,Barcelona,Liverpool,Ön Libero,Stoper,Kulüpler & Mabedler,Epic
Victor Valdes,İspanya,Barcelona,Kaleci,Kel,Efsane,Kulüpler & Mabedler,Epic
Dida,Brezilya,Milan,Kaleci,Penaltı,Siyah,Kulüpler & Mabedler,Epic
Gennaro Gattuso,İtalya,Milan,Agresif,Orta Saha,Pitbull,Kulüpler & Mabedler,Epic
Alessandro Nesta,İtalya,Milan,Lazio,Stoper,Zarif,Kulüpler & Mabedler,Epic
Cafu,Brezilya,Milan,Roma,Sağ Bek,Efsane,Kulüpler & Mabedler,Epic
Filippo Inzaghi,İtalya,Milan,Forvet,Ofsayt,Golcü,Kulüpler & Mabedler,Epic
Christian Vieri,İtalya,Inter,Forvet,Güçlü,Gezgin,Kulüpler & Mabedler,Epic
Hernan Crespo,Arjantin,Inter,Chelsea,Forvet,Saç,Kulüpler & Mabedler,Epic
Juan Sebastian Veron,Arjantin,Manchester United,Lazio,Orta Saha,Kel,Kulüpler & Mabedler,Epic
Juan Roman Riquelme,Arjantin,Villarreal,Boca Juniors,10 Numara,Pas,Kulüpler & Mabedler,Epic
Diego Forlan,Uruguay,Atletico Madrid,Villarreal,Dünya Kupası,Forvet,Kupalar & Turnuvalar,Epic
Mauro Icardi,Galatasaray,Arjantin,Forvet,Wanda,Aşkın Olayım,Kulüpler & Mabedler,Epic
Dries Mertens,Galatasaray,Napoli,Belçika,Orta Saha,Joker,Kulüpler & Mabedler,Epic
Fernando Muslera,Galatasaray,Uruguay,Kaleci,Kaptan,Efsane,Kulüpler & Mabedler,Epic
Edin Dzeko,Fenerbahçe,Bosna,Forvet,Roma,Kaptan,Kulüpler & Mabedler,Epic
Dusan Tadic,Fenerbahçe,Ajax,Sırbistan,Asist,Sol Ayak,Kulüpler & Mabedler,Epic
Vincent Aboubakar,Beşiktaş,Kamerun,Forvet,Porto,Golcü,Kulüpler & Mabedler,Epic
Toni Kroos,Real Madrid,Almanya,Orta Saha,Pas,Keskin Nişancı,Kulüpler & Mabedler,Epic
Thomas Müller,Bayern Münih,Almanya,Orta Saha,Joker,Raumdeuter,Kulüpler & Mabedler,Epic
Alisson,Liverpool,Brezilya,Kaleci,Roma,Kurtarış,Kulüpler & Mabedler,Epic
N'Golo Kante,Fransa,Chelsea,Ön Libero,Koşu,Gülümseme,Kulüpler & Mabedler,Epic
Mario Balotelli,İtalya,Forvet,Olay,Adana Demirspor,City,Yeşil Saha Efsaneleri,Rare
Wesley Sneijder,Galatasaray,Hollanda,Orta Saha,Inter,Şut,Kulüpler & Mabedler,Epic
Taffarel,Galatasaray,Brezilya,Kaleci,Efsane,UEFA,Kupalar & Turnuvalar,Epic
Rustu Reçber,Fenerbahçe,Milli Takım,Kaleci,Barcelona,Boya,Kulüpler & Mabedler,Epic
Oktay Derelioğlu,Beşiktaş,Forvet,Golcü,Milli Takım,Efsane,Yeşil Saha Efsaneleri,Rare
Matias Delgado,Beşiktaş,Arjantin,Orta Saha,Kaptan,Şampiyon,Futbol Terimleri & Taktikler,Common
Jose Sosa,Beşiktaş,Trabzonspor,Arjantin,Orta Saha,Frikik,Kulüpler & Mabedler,Epic
Guti,Real Madrid,Beşiktaş,Orta Saha,İspanya,Asist,Kulüpler & Mabedler,Epic
Deivid,Fenerbahçe,Brezilya,Forvet,Chelsea,Şut,Kulüpler & Mabedler,Epic
Rıdvan Dilmen,Fenerbahçe,Şeytan,Efsane,Yorumcu,Kanat,Kulüpler & Mabedler,Epic
Tanju Çolak,Galatasaray,Fenerbahçe,Gol Kralı,Avrupa,Efsane,Kulüpler & Mabedler,Epic
Cemil Turan,Fenerbahçe,Efsane,Forvet,Gol Kralı,Milli Takım,Kulüpler & Mabedler,Epic
Metin Oktay,Galatasaray,Taçsız Kral,Efsane,Gol Kralı,Ağları Delen,Kulüpler & Mabedler,Epic
Lefter Küçükandonyadis,Fenerbahçe,Ordinaryüs,Efsane,Milli Takım,Heykel,Kulüpler & Mabedler,Epic
Hakkı Yeten,Beşiktaş,Baba,Efsane,Başkan,Kaptan,Futbol Terimleri & Taktikler,Common
Süleyman Seba,Beşiktaş,Başkan,Efsane,Onursal,Duruş,Yeşil Saha Efsaneleri,Rare
Ali Sami Yen,Galatasaray,Kurucu,Başkan,Efsane,Stadyum,Kulüpler & Mabedler,Epic
Yılmaz Vural,Teknik Direktör,Efsane,Komik,Anadolu,Agresif,Yeşil Saha Efsaneleri,Rare
Fernando Torres,İspanya,Liverpool,Chelsea,Forvet,El Nino,Kulüpler & Mabedler,Epic
Xavi,Barcelona,İspanya,Orta Saha,Efsane,Pas,Kulüpler & Mabedler,Epic
Ronaldo Nazario,Brezilya,Real Madrid,Inter,Forvet,Fenomen,Kulüpler & Mabedler,Epic
Gheorghe Hagi,Romanya,Galatasaray,Karpatların Maradonası,Sol Ayak,Efsane,Kulüpler & Mabedler,Epic
Gabriel Batistuta,Arjantin,Fiorentina,Forvet,Batigol,Şut,Futbol Terimleri & Taktikler,Common
Yaya Toure,Manchester City,Barcelona,Fildişi,Orta Saha,Doğum Günü,Kulüpler & Mabedler,Epic
Robin van Persie,Fenerbahçe,Arsenal,Hollanda,Uçan Hollandalı,Sol Ayak,Kulüpler & Mabedler,Epic
Mesut Özil,Real Madrid,Arsenal,Almanya,Asist,Fenerbahçe,Kulüpler & Mabedler,Epic
Sergio Agüero,Manchester City,Arjantin,Forvet,Kun,Golcü,Kulüpler & Mabedler,Epic
Vincent Kompany,Manchester City,Belçika,Stoper,Kaptan,Kafa,Kulüpler & Mabedler,Epic
Rio Ferdinand,Manchester United,İngiltere,Stoper,Efsane,Vidic,Kulüpler & Mabedler,Epic
Nemanja Vidic,Manchester United,Sırbistan,Stoper,Agresif,Ferdinand,Kulüpler & Mabedler,Epic
Edwin van der Sar,Manchester United,Ajax,Hollanda,Kaleci,Uzun,Kulüpler & Mabedler,Epic
Röveşata,Ters,Havada,Zlatan,Vuruş,Makas,Yeşil Saha Efsaneleri,Rare
Hattrick,Üç,Gol,Maç,Aynı,Oyuncu,Yeşil Saha Efsaneleri,Rare
Taç,Kenar,Çizgi,Elle,Atış,Oyun,Futbol Terimleri & Taktikler,Common
Amigo,Taraftar,Tribün,Tezahürat,Lider,Davul,Futbol Terimleri & Taktikler,Common
Tiki Taka,Barcelona,Pas,Kısa,Guardiola,Sürekli,Kulüpler & Mabedler,Epic
Catenaccio,İtalya,Savunma,Defans,Kilit,Sert,Futbol Terimleri & Taktikler,Common
Gegenpressing,Klopp,Alman,Baskı,Kazanmak,Top,Futbol Terimleri & Taktikler,Common
Box to Box,Orta Saha,Ceza Sahası,İki Yönlü,Koşu,Gerrard,Futbol Terimleri & Taktikler,Common
Regista,Pirlo,Orta Saha,Oyun Kurucu,Geriden,Pas,Futbol Terimleri & Taktikler,Common
Trequartista,İtalya,10 Numara,Forvet Arkası,Totti,Yaratıcı,Yeşil Saha Efsaneleri,Rare
Sweeper Keeper,Neuer,Kaleci,Libero,Çıkmak,Savunma,Futbol Terimleri & Taktikler,Common
False Nine,Messi,Forvet,Sahte,Geriye,Dokuz,Yeşil Saha Efsaneleri,Legendary
Shunsuke Nakamura,Japon,Celtic,Frikik,Sol Ayak,Efsane,Kulüpler & Mabedler,Epic
Jay Jay Okocha,Fenerbahçe,Nijerya,Çalım,Teknik,PSG,Kulüpler & Mabedler,Epic
Jardel,Galatasaray,Brezilya,Kafa,Süper Kupa,Golcü,Kupalar & Turnuvalar,Epic
Uche Okechukwu,Fenerbahçe,Nijerya,Stoper,Högh,Uzun,Kulüpler & Mabedler,Epic
Elvir Balic,Fenerbahçe,Bosna,Real Madrid,Sol Ayak,Bonservis,Kulüpler & Mabedler,Epic
Guti Hernandez,Beşiktaş,Real Madrid,Sarı Saç,Asist,14,Kulüpler & Mabedler,Epic
Matias Almeyda,Arjantin,Orta Saha,Lazio,Saç,Sert,Kulüpler & Mabedler,Epic
Michael Ballack,Almanya,Chelsea,13,Orta Saha,İkinci,Kulüpler & Mabedler,Epic
Dimitar Berbatov,Bulgaristan,Manchester United,Teknik,Sakin,Dokunuş,Kulüpler & Mabedler,Epic
Carlos Tevez,Arjantin,Apache,Juventus,City,United,Kulüpler & Mabedler,Epic
Javier Hernandez,Meksika,Chicharito,Forvet,United,Golcü,Yeşil Saha Efsaneleri,Rare
Park Ji sung,Güney Kore,Manchester United,Ciğer,Koşu,Pirlo,Kulüpler & Mabedler,Epic
Nemanja Matic,Sırbistan,Chelsea,United,Ön Libero,Sol Ayak,Kulüpler & Mabedler,Epic
Cesc Fabregas,İspanya,Arsenal,Chelsea,Asist,Barcelona,Kulüpler & Mabedler,Epic
Santi Cazorla,İspanya,Arsenal,İki Ayak,Gülümseme,Orta Saha,Kulüpler & Mabedler,Epic
Tomas Rosicky,Çekya,Arsenal,Küçük Mozart,Sakatlık,Orta Saha,Kulüpler & Mabedler,Epic
Hatem Ben Arfa,Fransa,Çalım,Teknik,Newcastle,PSG,Kulüpler & Mabedler,Epic
Adel Taarabt,Fas,QPR,Çalım,Yetenek,Sokak,Futbol Terimleri & Taktikler,Common
Quaresma,Trivela,Rabona,Portekiz,Beşiktaş,Çalım,Futbol Terimleri & Taktikler,Common
Anderson Talisca,Beşiktaş,Brezilya,Sol Ayak,Kafa,Frikik,Yeşil Saha Efsaneleri,Rare
Emmanuel Emenike,Fenerbahçe,Nijerya,Güç,Hız,Kardemir Karabükspor,Kulüpler & Mabedler,Epic
Demba Ba,Beşiktaş,Senegal,Chelsea,Secde,Forvet,Kulüpler & Mabedler,Epic
Vagner Love,Alanyaspor,Beşiktaş,Brezilya,Saç,Forvet,Yeşil Saha Efsaneleri,Rare
Hugo Almeida,Beşiktaş,Portekiz,Forvet,Uzun,Bıyık,Yeşil Saha Efsaneleri,Rare
Milos Krasic,Fenerbahçe,Juventus,Sırbistan,Kanat,Saç,Kulüpler & Mabedler,Epic
Diego Ribas,Fenerbahçe,Atletico Madrid,Brezilya,10 Numara,Werder Bremen,Kulüpler & Mabedler,Epic
Jose Kleberson,Beşiktaş,Brezilya,Manchester United,Dünya Kupası,Orta Saha,Kupalar & Turnuvalar,Epic
Ailton,Beşiktaş,Schalke,Brezilya,Kilo,Forvet,Yeşil Saha Efsaneleri,Rare
Pierre Webo,Fenerbahçe,Kamerun,Başakşehir,Forvet,Kafa,Kulüpler & Mabedler,Epic
Didier Zokora,Trabzonspor,Fildişi,Emre,Tekme,Orta Saha,Kulüpler & Mabedler,Epic
Ondrej Celustka,Trabzonspor,Çekya,Inter,Gol,Defans,Kulüpler & Mabedler,Epic
Marcelo Bielsa,El Loco,Arjantin,Kova,Taktik,Leeds,Futbol Terimleri & Taktikler,Common
Sam Allardyce,Big Sam,İngiltere,Uzun Top,Kümede Kalma,Defansif,Futbol Terimleri & Taktikler,Common
Sean Dyche,Burnley,Everton,Sert,Defansif,İngiliz,Kulüpler & Mabedler,Epic
Maurizio Sarri,Sigara,İtalya,Napoli,Chelsea,Eşofman,Kulüpler & Mabedler,Epic
Zdenek Zeman,Hücum,Sigara,Roma,Fenerbahçe,Merdiven,Kulüpler & Mabedler,Epic
Mircea Lucescu,Galatasaray,Beşiktaş,Shakhtar,Romanya,Taktik,Kulüpler & Mabedler,Epic
Gordon Milne,Beşiktaş,İngiliz,Şampiyon,Üst Üste,Metin Ali Feyyaz,Yeşil Saha Efsaneleri,Rare
Jupp Derwall,Galatasaray,Alman,Tesis,Devrim,Efsane,Kulüpler & Mabedler,Epic
Christoph Daum,Fenerbahçe,Beşiktaş,Alman,Şampiyon,Pudra,Kulüpler & Mabedler,Epic
Zico,Fenerbahçe,Brezilya,Beyaz Pele,Şampiyonlar Ligi,Çeyrek Final,Kulüpler & Mabedler,Epic
Rıza Çalımbay,Sivasspor,Beşiktaş,Atom Karınca,Teknik Direktör,Anadolu,Futbol Terimleri & Taktikler,Common
Samet Aybaba,Feda,Beşiktaş,Teknik Direktör,Altyapı,Kaptan,Futbol Terimleri & Taktikler,Common
Meşale,Tribün,Ateş,Kırmızı,Taraftar,Kutlama,Futbol Terimleri & Taktikler,Common
Krampon,Ayakkabı,Çivi,Futbolcu,Giyer,Çim,Futbol Terimleri & Taktikler,Common
Tozluk,Çorap,Bacak,Tekmelik,Uzun,Forma,Futbol Terimleri & Taktikler,Common
Tekmelik,Bacak,Koruma,Tozluk,Kaval,Kemik,Yeşil Saha Efsaneleri,Rare
Hakem Düdüğü,Ses,Üflemek,Maç,Başlamak,Faul,Futbol Terimleri & Taktikler,Common
Galatasaray,Cimbom,Sarı Kırmızı,Aslan,Okan Buruk,Ali Sami Yen,Kulüpler & Mabedler,Epic
Fenerbahçe,Sarı Lacıvert,Kanarya,Kadıköy,Şükrü Saracoğlu,İsmail Kartal,Kulüpler & Mabedler,Epic
Beşiktaş,Siyah Beyaz,Kartal,Çarşı,Tüpraş Stadyumu,Dolmabahçe,Kulüpler & Mabedler,Epic
Trabzonspor,Bordo Mavi,Fırtına,Karadeniz,Papara Park,Şampiyon,Kulüpler & Mabedler,Epic
Başakşehir,Bozbaykuşlar,Fatih Terim Stadyumu,Turuncu Lacivert,Şampiyon,İstanbul,Kulüpler & Mabedler,Epic
Kasımpaşa,Recep Tayyip Erdoğan,Lacivert Beyaz,İstanbul,Semt,Paşa,Yeşil Saha Efsaneleri,Rare
Fatih Karagümrük,Kırmızı Siyah,Vefa,İstanbul,Semt,Süleyman Hurma,Yeşil Saha Efsaneleri,Rare
Sivasspor,Yiğido,Kırmızı Beyaz,Sivas,Mecnun Otyakmaz,4 Eylül,Yeşil Saha Efsaneleri,Rare
Antalyaspor,Akrep,Kırmızı Beyaz,Akdeniz,Corendon,Sergen Yalçın,Yeşil Saha Efsaneleri,Rare
Alanyaspor,Turuncu Yeşilli,Akdeniz,Oba,Alanya,Farioli,Yeşil Saha Efsaneleri,Rare
Konyaspor,Yeşil Beyaz,Anadolu Kartalı,Konya,Nalçacılılar,Mevlana,Yeşil Saha Efsaneleri,Rare
Kayserispor,Sarı Kırmızı,Anadolu Yıldızı,Kayseri,Kadir Has,Pastırma,Futbol Terimleri & Taktikler,Common
Gaziantep FK,Kırmızı Siyah,Antep,Şahinler,Baklava,Güneydoğu,Yeşil Saha Efsaneleri,Rare
Ankaragücü,Sarı Lacivert,Başkent,Gecekondu,Eryaman,Emre Belözoğlu,Yeşil Saha Efsaneleri,Rare
Hatayspor,Bordo Beyaz,Antakya,Volkan Demirel,Künefe,Güney,Yeşil Saha Efsaneleri,Rare
Pendikspor,Kırmızı Beyaz,İstanbul,Semt,Pendik,Marmara,Yeşil Saha Efsaneleri,Rare
İstanbulspor,Sarı Siyah,Boğalar,İstanbul,Esenyurt,Büyükçekmece,Yeşil Saha Efsaneleri,Rare
Samsunspor,Kırmızı Beyaz,Karadeniz,Şimşekler,19 Mayıs,Ertuğrul Sağlam,Yeşil Saha Efsaneleri,Rare
Rizespor,Mavi Yeşil,Atmaca,Karadeniz,Çay,Rize,Yeşil Saha Efsaneleri,Rare
Göztepe,Sarı Kırmızı,İzmir,Gürsel Aksel,Yalı,Körfez,Kulüpler & Mabedler,Epic
Karşıyaka,Yeşil Kırmızı,Kaf Sin Kaf,İzmir,Göztepe,Körfez,Kulüpler & Mabedler,Epic
Altay,Siyah Beyaz,Büyük Altay,İzmir,Alsancak,Mustafa Denizli,Yeşil Saha Efsaneleri,Rare
Bursaspor,Yeşil Beyaz,Timsah,Şampiyon,Bursa,Teksas,Kulüpler & Mabedler,Epic
Eskişehirspor,Kırmızı Siyah,Es Es,Bando,Eskişehir,Anadolu,Yeşil Saha Efsaneleri,Rare
Kocaelispor,Yeşil Siyah,Körfez,İzmit,Hodri Meydan,Marmara,Yeşil Saha Efsaneleri,Rare
Sakaryaspor,Yeşil Siyah,Tatangalar,Adapazarı,Sakarya,Kocaeli,Yeşil Saha Efsaneleri,Rare
Giresunspor,Yeşil Beyaz,Çotanak,Karadeniz,Fındık,Giresun,Yeşil Saha Efsaneleri,Rare
Denizlispor,Yeşil Siyah,Horoz,Ege,Denizli,Mustafa Keçeli,Yeşil Saha Efsaneleri,Rare
Boluspor,Kırmızı Beyaz,Yarenler,Bolu,Köroğlu,Dağ,Yeşil Saha Efsaneleri,Rare
Bandırmaspor,Bordo Beyaz,Marmara,Balıkesir,Banvit,Bandırma,Yeşil Saha Efsaneleri,Rare
Şanlıurfaspor,Sarı Yeşilli,Urfa,Peygamberler,Güneydoğu,Ceylanlar,Yeşil Saha Efsaneleri,Rare
Erzurumspor,Mavi Beyaz,Dadaşlar,Doğu,Palandöken,Erzurum,Yeşil Saha Efsaneleri,Rare
Arsenal,Topçular,Londra,Emirates,Arteta,Kırmızı Beyaz,Kulüpler & Mabedler,Epic
Aston Villa,Bordo Mavi,Birmingham,Villa Park,Unai Emery,Aslan,Yeşil Saha Efsaneleri,Rare
Chelsea,Maviler,Londra,Stamford Bridge,Abramovich,Pochettino,Kulüpler & Mabedler,Epic
Everton,Maviler,Liverpool,Goodison Park,Toffees,Merseyside,Kulüpler & Mabedler,Epic
