Hedef Kelime (Target Word),İpucu 1,İpucu 2,İpucu 3,İpucu 4,İpucu 5,Alt Kategori (Set),Nadirlik (Rarity)
HOWARD SHORE,BESTECI,YÜZÜKLERIN EFENDISI,OSCAR,MÜZIK,GANDALF,Kült Filmler & Yönetmenler,Rare
ALAN SILVESTRI,BESTECI,AVENGERS,BACK TO THE FUTURE,MARVEL,MÜZIK,Sinema Dünyası & Terimler,Epic
JAMES HORNER,BESTECI,TITANIC,AVATAR,OSCAR,MÜZIK,Hollywood Efsaneleri,Legendary
LUDWIG GORANSSON,BESTECI,OPPENHEIMER,BLACK PANTHER,OSCAR,NOLAN,Hollywood Efsaneleri,Legendary
BERNARD HERRMANN,BESTECI,PSYCHO,HITCHCOCK,KORKU,MÜZIK,Hollywood Efsaneleri,Legendary
NINO ROTA,BESTECI,GODFATHER,ITALYA,OSCAR,MÜZIK,Hollywood Efsaneleri,Legendary
CLINT MANSELL,BESTECI,REQUIEM FOR A DREAM,PIYANO,MÜZIK,KORKU,Sinema Dünyası & Terimler,Rare
HABABAM SINIFI,KEMAL SUNAL,HALİT AKÇATEPE,OKUL,KÜLT,MÜNIR ÖZKUL,Yerli Klasikler & Efsaneler,Epic
TOSUN PAŞA,ŞENER ŞEN,KEMAL SUNAL,LÜTFÜ,YEŞIL VADI,SEFEROĞULLARI,Yerli Klasikler & Efsaneler,Epic
SÜT KARDEŞLER,RAMAZAN,ŞABAN,GULYABANI,MÜNIR ÖZKUL,KONAĞI,Sinema Dünyası & Terimler,Rare
EŞKIYA,BARAN,UĞUR YÜCEL,ŞENER ŞEN,ISTANBUL,YAVUZ TURGUL,Sinema Dünyası & Terimler,Rare
KEMAL SUNAL,TÜRK,AKTÖR,KOMEDI,HABABAM SINIFI,ŞABAN,Yerli Klasikler & Efsaneler,Epic
ŞENER ŞEN,KEMAL SUNAL,TOSUN PAŞA,AKTÖR,BADI EKREM,VECIHI,Yerli Klasikler & Efsaneler,Epic
TARIK AKAN,AKTÖR,TÜRK,YOL,HABABAM SINIFI,DAMAT FERIT,Yerli Klasikler & Efsaneler,Epic
CÜNEYT ARKIN,KARA MURAT,DÖVÜŞ,BATAL GAZI,AKTÖR,TÜRK,Yerli Klasikler & Efsaneler,Rare
MÜNIR ÖZKUL,TÜRK,AKTÖR,YAŞAR USTA,HABABAM SINIFI,MAHMUT HOCA,Yerli Klasikler & Efsaneler,Epic
HALIT AKÇATEPE,GÜDÜK NECMI,HABABAM SINIFI,RAMAZAN,TÜRK,AKTÖR,Yerli Klasikler & Efsaneler,Epic
ADILE NAŞIT,HAFIZE ANA,KAHKAHA,HABABAM SINIFI,TÜRK,AKTRIS,Yerli Klasikler & Efsaneler,Epic
KAYHAN YILDIZOĞLU,TÜRK,AKTÖR,BIYIK,TV,DRAM,Yerli Klasikler & Efsaneler,Rare
FILIZ AKIN,GÜZEL,AKTRIS,TÜRK,SARISIN,YEŞILÇAM,Yerli Klasikler & Efsaneler,Rare
FATMA GIRIK,AKTRIS,TÜRK,GÖZ,YEŞILÇAM,BELEDIYE BAŞKANI,Yerli Klasikler & Efsaneler,Rare
HÜLYA KOÇYIĞIT,AKTRIS,TÜRK,YEŞILÇAM,SUSUZ YAZ,ROMANTIK,Yerli Klasikler & Efsaneler,Rare
GÜLŞEN BUBIKOĞLU,TARIK AKAN,GÜZEL,TÜRK,YEŞILÇAM,AKTRIS,Yerli Klasikler & Efsaneler,Rare
HALUK BILGINER,TÜRK,TATLI HAYAT,EMMY,ŞAHSIYET,AGAH BEYOGLU,Yerli Klasikler & Efsaneler,Rare
CEM YILMAZ,G.O.R.A.,AROG,STAND UP,KOMEDI,TÜRK,Yerli Klasikler & Efsaneler,Rare
NURI ALÇO,YEŞILÇAM,TÜRK,KÖTÜ KARAKTER,GAZOZ,İLAÇ,Yerli Klasikler & Efsaneler,Rare
TECAVÜZCÜ COŞKUN,YEŞILÇAM,TÜRK,KÖTÜ KARAKTER,AKTÖR,TACİZ,Yerli Klasikler & Efsaneler,Rare
BADI EKREM,KOŞMAK,BEDEN EĞİTİMİ,KIRMIZI EŞOFMAN,HABABAM SINIFI,SENER SEN,Yerli Klasikler & Efsaneler,Epic
VECIHI,PILOT,UÇAK,GÜLEN GÖZLER,ŞENER ŞEN,AŞK,Sinema Dünyası & Terimler,Rare
AGAH BEYOĞLU,TÜRK,SERI KATIL,UNUTKANLIK,ŞAHSIYET,HALUK BILGINER,Yerli Klasikler & Efsaneler,Rare
SPIDER MAN,MARVEL,KIRMIZI MAVİ,AĞ,PETER PARKER,YARASA,Sinema Dünyası & Terimler,Rare
IRON MAN,REAKTÖR,MARVEL,MARVEL,TONY STARK,AVENGERS,Sinema Dünyası & Terimler,Epic
BATMAN,BRUCE WAYNE,GOTHAM,PELERIN,YARASA,MAĞARA,Hollywood Efsaneleri,Legendary
SUPERMAN,UÇMAK,GÖZLÜK,KIRMIZI PELERIN,CLARK KENT,KRIPTON,Hollywood Efsaneleri,Legendary
SHERLOCK HOLMES,LONDRA,PIPO,WATSON,BÜYÜTEÇ,DEDEKTIF,Sinema Dünyası & Terimler,Rare
DARTH VADER,STAR WARS,LUKE,KIRMIZI IŞIN KILIÇI,SİYAH KASK,BABA,Hollywood Efsaneleri,Legendary
JAMES BOND,INGILTERE,MARTINI,AJAN,SILAH,7,Sinema Dünyası & Terimler,Rare
