Hedef Kelime (Target Word),İpucu 1,İpucu 2,İpucu 3,İpucu 4,İpucu 5
The Big Short,Finans,Kriz,Emlak,Borsa,Christian Bale
Room,Gizli Oda,Anne Oğul,Kaçış,Brie Larson,Kilit
Sicario,Meksika,Uyuşturucu Çetesi,FBI,Sınır,Emily Blunt
Ex Machina,Yapay Zeka,Robot Ava,Test,Laboratuvar,Yazılımcı
Birdman,Tiyatro,Süper Kahraman,Tek Çekim,Michael Keaton,Kanat
Boyhood,12 Yıl,Büyümek,Çocuk,Zaman,Richard Linklater
The Grand Budapest Hotel,Otel,Wes Anderson,Pembe,Tablo,Resepsiyonist
Nightcrawler,Gece Habercisi,Jake Gyllenhaal,Kaza,Kamera,Gece
Her,Yapay Zeka,Joaquin Phoenix,Ses,Kırmızı Gömlek,Gelecek
12 Years a Slave,Kölelik,Solomon Northup,Çiftlik,Keman,Kırbaç
The Wolf of Wall Street,Borsa,DiCaprio,Hisse,Para,Uyuşturucu
Prisoners,Kayıp Çocuk,Hugh Jackman,Jake Gyllenhaal,Yağmur,İşkence
Life of Pi,Kaplan,Sandal,Okyanus,Hindistan,Gemi Batığı
Silver Linings Playbook,Umut Işığım,Dans Yarışması,Jennifer Lawrence,Bradley Cooper,Psikoloji
Argo,İran,Elçilik,Ben Affleck,Film Çekimi,Kurtarma
Drive,Sürücü,Ryan Gosling,Akrep Ceket,Gece,Araba
District 9,Uzaylı Karides,Güney Afrika,Silah,Bölge,Mutasyon
No Country for Old Men,Anton Chigurh,Para Çantası,Kovboy,Coen Kardeşler,Oksijen Tüpü
There Will Be Blood,Petrol,Daniel Day Lewis,Kilise,Kuyu,Kan
Superbad,Lise Party,Sahte Kimlik,McLovin,Polis,Alkol
Pan's Labyrinth,İspanya,Yaratık,Peri,Guillermo del Toro,Savaş
Children of Men,Kısırlık,Son Bebek,Gelecek,Mülteci,Londra
V for Vendetta,Devrim,İngiltere,5 Kasım,Guy Fawkes,Fikirler Ölümsüzdür
Sin City,Siyah Beyaz Kırmızı,Çizgi Roman,Bruce Wills,Dedektif,Çete
Batman Begins,Korkuluk,Gölgeler Birliği,Nolan,Yarasa,Bruce Wayne
Eternal Sunshine of the Spotless Mind,Hafıza Silme,Clementina,Jim Carrey,Mavi Saç,Unutmak
The Incredibles,İnanılmaz Aile,Süper Kahraman,Kırmızı Tayt,Özel Güç,Pixar
The Pianist,Wladyslaw Szpilman,Piyano,Varşova,Nazi,Adrien Brody
City of God,Tanrı Kent,Brezilya,Favela,Çete,Fotoğrafçı
Requiem for a Dream,Bir Rüya İçin Ağıt,Bağımlılık,Göz Bebeği,Müzik,Hap
The Green Mile,Yeşil Yol,John Coffey,Elektrikli Sandalye,Fare,İdam
Life Is Beautiful,Hayat Güzeldir,Guido,Oyun,Toplama Kampı,İtalya
Good Will Hunting,Can Dostum,Matematik Dehası,Temizlikçi,Robin Williams,Matt Damon
Fargo,Kar,Fidye,Hamile Kadın Polis,Coen Kardeşler,Kıyma Makinesi
Braveheart,Cesur Yürek,William Wallace,İskoçya,Özgürlük,Kilt
Before Sunrise,Gün Doğmadan,Viyana,Tren,Sohbet,Aşk
Leon The Professional,Sevginin Gücü,Mathilda,Süt,Saksı Çiçeği,Tetikçi
Groundhog Day,Köstebek Günü,Aynı Gün,Bill Murray,Hava Durumu,Tekrar
Silence of the Lambs,Kuzuların Sessizliği,Hannibal Lecter,Clarice Starling,Kelebek,Yamyam
Goodfellas,Sıkı Dostlar,Henry Hill,Mafya,Scorsese,Ray Liotta
Amadeus,Mozart,Salieri,Kıskançlık,Klasik Müzik,Viyana
Terminator 2,Sıvı Metal T-1000,Hasta La Vista,Arnold,Erimiş Çelik,Gelecek
Apocalypse Now,Kıyamet,Vietnam Savaşı,Helikopter Saldırısı,Kurtz,Marlon Brando
2001 A Space Odyssey,HAL 9000,Siyah Monolit,Stanley Kubrick,Uzay,Maymun
Napolyon,Joaquin Phoenix,Ridley Scott,Fransa,İmparator,Savaş
Saltburn,Barry Keoghan,Jacob Elordi,Malikane,Lüks,Havuz
Priscilla,Elvis Presley,Jacob Elordi,Sofia Coppola,Graceland,Film
Wonka,Timothee Chalamet,Çikolata Fabrikası,Oompa Loompa,Şeker,Müzikal
The Iron Claw,Güreş,Zac Efron,Kardeşler,Ring,Aile
Anyone But You,Sydney Sweeney,Glen Powell,Romantik Komedi,Avustralya,Düğün
Argylle,Casus,Kedi,Dua Lipa,Yazar,Aksiyon
Deadpool and Wolverine,Ryan Reynolds,Hugh Jackman,Marvel,Pençe,Kırmızı Tayt
Beetlejuice Beetlejuice,Beterböcek,Tim Burton,Michael Keaton,Jenna Ortega,Ruh
Gladiator II,Paul Mescal,Ridley Scott,Roma,Arena,Dövüş
Inside Out 2,Kaygı,Duygular,Neşe,Ergenlik,Pixar
Alien Romulus,Uzay,Yaratık,Korku,Fatih Akın,Bilim Kurgu
Wicked,Ariana Grande,Cynthia Erivo,Yeşil Cadı,Oz,Müzikal
Kuru Otlar Ustune,Merve Dizdar,Nuri Bilge Ceylan,Doğu,Öğretmen,Cannes
Karanlık Gece,Özcan Alper,Berkay Ateş,Av,Kasaba,Suç
Boğa Boğa,Kıvanç Tatlıtuğ,Asos,İnşaat,Cinayet,Netflix
Cennetten Kovulanları Dahi Yaşatırlar,Türk Sineması,Film,Dram,Sanat,Festival
Gönül,Erkan Kolçak Köstendil,Hazar Ergüçlü,Keman,Netflix,Aşk
Aşıklar Bayramı,Kıvanç Tatlıtuğ,Settar Tanrıöğen,Bağlama,Baba Oğul,Yol
Cici,Berkun Oya,Çiftlik,Kamera,Geçmiş,Netflix
Bursa Bülbülü,Ata Demirer,Kaset,80'ler,Müzik,Bursa
Ölümlü Dünya,Tetikçi,Ali Atay,Feyyaz Yiğit,Doğu Demirkol,Mermer merve
Lohusa,Gupse Özay,Bebek,Doğum,Anne,Komedi
Kolpaçino,Şafak Sezer,Özgür,Ganyotçu,Sabri,Komedi
Zaferin Rengi,Fenerbahçe,Harington Kupası,Kurtuluş Savaşı,Futbol,Tarih
Mucize 2 Aşk,Mahsun Kırmızıgül,Mert Turak,Köy,Doğu,Ezgiler
Severance,İş Hafızası,Şirket,Asansör,Ofis,Apple TV
Succession,Waystar Royco,Logan Roy,Kendall,Miras,Medya
The Bear,Carmy,Mutfak,Şef,Sandviç Dükkanı,Chef
Shogun,Samuray,Japonya,Feodal,Toranaga,Kılıç
House of the Dragon,Targaryen,Ejderha,Westeros,Demir Taht,Valyrian
Wednesday,Addams Ailesi,Nevermore,Şey,Dans,Zendaya
The White Lotus,Lüks Otel,Tatilciler,Zengin,Cinayet,Havuz
Ted Lasso,Richmond AFC,Bisküvi,Koç,İngiliz Futbolu,İnanç
Andor,Star Wars,İsyancılar,Hapishane,Empire,Diego Luna
Mare of Easttown,Kate Winslet,Kasaba Dedektifi,Cinayet,Pensilvanya,Bir
The Queen's Gambit,Satranç,Açılış,Beth Harmon,Piyon,Rusya
The Boys,Homelander,Kötü Süper Kahramanlar,V Bileşiği,Butcher,Kan
Mindhunter,FBI,Seri Katiller,Psikoloji,Röportaj,70'ler
Narcos,Pablo Escobar,Kolombiya,Uyuşturucu Karteli,DEA,Medellin
Rick and Morty,Portal Tabancası,Çılgın Dede,Torun,Çoklu Evren,Turşu Rick
Sherlock,Benedict Cumberbatch,221B Baker Street,Dr Watson,Dedektif,Zihin Sarayı
True Detective,Rust Cohle,Louisiana,Cinayet Soruşturması,Sarı Kral,Zaman Bir Halka
Fargo Dizi,Minnesotta Kar,Kötü Adam,Cinayet,Absürt,Polis
The Office,Dunder Mifflin,Michael Scott,Kamera,Ofis,Kağıt
Parks and Recreation,Leslie Knope,Parklar Müdürlüğü,Ron Swanson,Waffle,Belediye
Brooklyn Nine-Nine,Jake Peralta,Captain Holt,99 Polis Karakolu,Komedi,Dedektif
Friends,Central Perk,Rachel,Ross,Monica,Koltuk
Seinfeld,Hiçbir Şey Hakkında Dizi,Jerry,George,Kramer,Komedyen
How I Met Your Mother,Sarı Şemsiye,Barney Stinson,Suit Up,Ted Mosby,Anne
Big Bang Theory,Sheldon Cooper,Bazinga,Fizikçi,Penny,Teori
Suits,Avukat,Harvey Specter,Mike Ross,Takım Elbise,Hukuk
House MD,Baston,Lupus,Teşhis,Dr Gregory,Hap Bağımlısı
Lost,Uçak Kazası,Ada,4 8 15 16 23 42,Siyah Duman,Hatch
Prison Break,Dövme Harita,Fox River,Michael Scofield,Hapishane Kaçışı,Kardeş
Dexter,Kan Sıçrama Uzmanı,Seri Katil,Plastik Örtü,Tekne,Miami
The Sopranos,Psikiyatrist,Mafya Ailesi,New Jersey,Tony Soprano,Puro
The Wire,Baltimore,Dinleme,Uyuşturucu Sokağı,Polis,Liman
Kızıl Goncalar,Tarikat,Zeynep,Özkan Deniz,Seküler,Dizi
Yalı Çapkını,Ferit,Seyran,Gaziantep,Yalı,Mert Ramazan Demir
Kızılcık Şerbeti,Doğa,Fatih,Pembe Hanım,Seküler Muhafazakar,Dizi
Bahar,Demet Evgar,Doktor,Karaciğer Nakli,Hastane,Ev Hanımı
İnci Taneleri,Azem,Dilber,Pavyon Dansı,Yılmaz Erdoğan,Elbise
Yargı,Ceylin,Ilgaz,Pınar Deniz,Kaan Urgancıoğlu,Mahkeme
Gönül Dağı,Gedelli,Taner,Uçan Araba,Bozkır,TRT
Teşkilat,MİT,Ajan,Ankara,Operasyon,TRT
Kuzey Güney,Kuzey,Güney,Kıvanç Tatlıtuğ,Fırın,Tekinoğlu
Adını Feriha Koydum,Kapıcı Kızı,Emir Sarrafoğlu,Hazal Kaya,Halı,Apartman
Öyle Bir Geçer Zaman ki,Ali Kaptan,Cemile,Küçük Osman,Caroline,Tekne
Yaprak Dökümü,Ali Rıza Bey,Ferhunde,Ağzımızın Tadı,Aydan,Ev
Sıla,Töre,Mardin,Cansu Dere,Boran Ağa,Aşiret
Aliye,Çocuklarım Olmadan Asla,Sanem Çelik,Doktor,Boşanma,Dizi
İşler Güçler,Ahmet Kural,Murat Cemcir,Sadi Celil Cengiz,Dizi Çekimi,Komedi
Kardeş Payı,Metin Ali Feyyza,Borla Çalışan Motor,Ahmet Kural,Tesisatçı,Mahalle
1 Erkek 1 Kadın,Zeynep,Ozan,Demet Evgar,Emre Karayel,İlişki
Ruhsar,Mazhar,Gözlerini Açardı,Yağmur Yağınca,Ruh,Gök
Sıdıka,Ev Hapsi,Dantel,Baskılı Anne,Hasibe Eren,Mahalle
Yedi Numara,Köyden Gelen Kızlar,Ahşap Ev,Armğan,Vahit Ballı,Üniversite
İkinci Bahar,Ali Haydar,Hanım,Kebapçı,Samatya,Şener Şen
Süper Baba,Fikret,Çengelköy,Bana Bir Masal Anlat Baba,Şevket Altuğ,Mahalle
Bizimkiler,Kapıcı Cafer,Sabri Bey,Buyruuun,Dunkof,Apartman
Greta Gerwig,Barbie,Lady Bird,Little Women,Kadın Yönetmen,Oscar
Bong Joon-ho,Parasite,Snowpiercer,Memories of Murder,Kore,Yönetmen
Jordan Peele,Get Out,Us,Nope,Korku,Komedyen
Coen Kardeşler,Fargo,Big Lebowski,No Country for Old Men,İki Kardeş,Yönetmen
Taika Waititi,Jojo Rabbit,Thor Ragnarok,Yeni Zelanda,Komedi,Yönetmen
Damien Chazelle,Whiplash,La La Land,Babylon,Müzik,Yönetmen
Yorgos Lanthimos,Poor Things,The Lobster,The Favourite,Yunanistan,Absürt
Guy Ritchie,Snatch,Lock Stock,Sherlock Holmes,İngiliz,Çete
Anya Taylor-Joy,Queens Gambit,Furiosa,The Witch,Gözler,Oyuncu
Pedro Pascal,The Last of Us,Mandalorian,Narcos,Oberyn Martell,Internet Daddy
Cillian Murphy,Oppenheimer,Peaky Blinders,Thomas Shelby,Mavi Göz,İrlanda
Mads Mikkelsen,Hannibal,Another Round,Casino Royale,Danimarka,Kötü Adam
Austin Butler,Elvis,Dune 2,Masters of the Air,Ses,Oyuncu
Barry Keoghan,Saltburn,Banshees of Inisherin,Batman,İrlanda,Oyuncu
Jacob Elordi,Euphoria,Saltburn,Priscilla,Boy,Oyuncu
Jenna Ortega,Wednesday,Scream,Beetlejuice,Gotik,Oyuncu
Sydney Sweeney,Euphoria,White Lotus,Anyone But You,Sarışın,Oyuncu
Paul Mescal,Normal People,Gladiator 2,Aftersun,İrlanda,Oyuncu
Jeremy Allen White,The Bear,Shameless,Carmy,Mutfak,Oyuncu
Bella Ramsey,The Last of Us,Ellie,Game of Thrones,Lyanna,Oyuncu
Elizabeth Debicki,The Crown,Lady Diana,Tenet,Boy,Oyuncu
Ayo Edebiri,The Bear,Inside Out 2,Komedi,Mutfak,Oyuncu
Quinta Brunson,Abbott Elementary,Öğretmen,Okul,Komedi,Oyuncu
Pedro Almodovar,İspanyol,Annem Hakkında Her Şey,Konuş Onunla,Yönetmen,Kırmızı
Salih Bademci,Kulüp,Terzi,Dilek Taşı,İstanbullu Gelin,Oyuncu
Pınar Deniz,Yargı,Aşk 101,Ceylin,Kaan Urgancıoğlu,Oyuncu
Kaan Urgancıoğlu,Yargı,Kara Sevda,Ilgaz Savcı,Aşk 101,Oyuncu
Afra Saraçoğlu,Yalı Çapkını,Seyran,Fazilet Hanım,Yeşil Deniz,Oyuncu
Mert Ramazan Demir,Yalı Çapkını,Ferit,Şahmaran,Çıplak,Oyuncu
Demet Özdemir,Erkenci Kuş,Doğduğun Ev Kaderindir,Adım Farah,Dans,Oyuncu
Hande Erçel,Sen Çal Kapımı,Güneşin Kızları,Halka,Instagram,Oyuncu
Kerem Bürsin,Güneşi Beklerken,Sen Çal Kapımı,Ya Çok Seversen,İngilizce,Oyuncu
Can Yaman,Erkenci Kuş,Dolunay,İtalya,Kas,Oyuncu
Burak Özçivit,Kuruluş Osman,Kara Sevda,Çalıkuşu,Bıyık,Oyuncu
Fahriye Evcen,Yaprak Dökümü,Çalıkuşu,Necla,Burak Özçivit,Oyuncu
Hazal Kaya,Aşk-ı Memnu,Nihal,Adını Feriha Koydum,Pera Palas,Oyuncu
Çağatay Ulusoy,Adını Feriha Koydum,Medcezir,İçerde,Terzi,Hakan Muhafız
Merve Dizdar,Kuru Otlar Üstüne,Cannes En İyi Kadın,Masumlar Apartmanı,Gülben,Oyuncu
Öykü Karayel,Bir Başkadır,Kuzey Güney,Meryem,İpek,Oyuncu
Gökçe Bahadır,Kulüp,Yaprak Dökümü,Ufak Tefek Cinayetler,Matilda,Oyuncu
Nejat İşler,Kaybedenler Kulübü,Behzat Ç.,İyi Adamın 10 Günü,Bodrum,Oyuncu
Erkan Kolçak Köstendil,Çukur,Vartolu,Bandırma Füze Kulübü,Görücü Usulü,Oyuncu
Erdal Beşikçioğlu,Behzat Ç.,Amirim,Vali,Etimesgut Belediye Başkanı,Tiyatro
Timuçin Esen,Müslüm,Hekimoğlu,Bodrum Masalı,Gönül İşleri,Oyuncu
Fikret Kuşkan,Babam ve Oğlum,Zalim İstanbul,Mustafa Hakkında Her Şey,Kabadayı,Oyuncu
Mehmet Günsür,Muhteşem Yüzyıl,Şehzade Mustafa,Fi,Atiye,İtalya
Ozan Güven,G.O.R.A.,216,Fi,Muhteşem Yüzyıl,Rustem Paşa
Zafer Algöz,Cem Yılmaz,GORA,Yahşi Batı,Erşan Kuneri,Beşiktaş
Özkan Uğur,MFÖ,GORA,Garavel Usta,Cennet Mahallesi,Bknz
Ferhan Şensoy,Pardon,Şahları da Vururlar,Ortaoyuncular,Ses Tiyatrosu,Yazar
Levent Kırca,Olacak O Kadar,Niyetiniz Ne,Sarhoş,Komedi,Tiyatro
Sadri Alışık,Turist Ömer,Offside,Ofside,Sokak Kızı Eleni,Selamunaleykum
Ayhan Işık,Taçsız Kral,Yeşilçam,Jön,Bıyık,Aktör
Belgin Doruk,Küçük Hanımefendi,Yeşilçam,Zarafet,Ayhan Işık,Aktris
Ediz Hun,Yeşilçam,Jön,Biyolog,Romantik,Aktör
Kartal Tibet,Tarkan,Kurt,Tosun Paşa Yönetmen,Yeşilçam,Cihangir
Erol Taş,Kötü Adam,Tavuk Yeme Sahnesi,Susuz Yaz,Kahvehane,Yeşilçam
Hulusi Kentmen,Tatlı Sert Baba,Fabrikatör,Bıyık,Polis,Yeşilçam
Ali Şen,Şener Şen Baba,Kötü Ağa,Süt Kardeşler,Yeşilçam,Oyuncu
Kadir Savun,Babacan,Yeşilçam,Bıyıklı Emniyet,Dost,Aktör
Cevat Kurtuluş,Komik Jest,Yeşilçam,Garson,Gözlük,Komedyen
Sami Hazinses,Yeşilçam,Kısa Boy,Komedi,Şarkı,Oyuncu
Pembe,Sibel Taşçıoğlu,Doğa,Fatih,Gelin,Kızılcık Şerbeti
Yılmaz,Feyyaz Yiğit,İlkkan,Ersoy,Absürt,Gibi
İlkkan,Kıvanç Kılınç,Yılmaz,Ersoy,Absürt,Gibi
Ersoy,Ahmet Milena,Yılmaz,İlkkan,Babaanne,Gibi
Ömer,Selahattin Paşalı,Gökçe Bahadır,Camii,Müezzin,Star TV
Gaddar,Çağatay Ulusoy,Dağhan,Tetikçi,Aksiyon,FOX NOW
Selahaddin Eyyubi,Kudüs,TRT,Savaş,Haçlı,Tarih
Bursa Bülbülü,Ata Demirer,Kaset,80'ler,Müzik,Bursa
Kurak Günler,Emin Alper,Selahattin Paşalı,Kuyu,Savcı,Kasaba
Bergen,Farah Zeynep Abdullah,Acıların Kadını,Şarkıcı,Kezzap,Film
Atatürk,Aras Bulut İynemli,Mustafa Kemal,Cumhuriyet,Tarih,Film
